Enlace;ID;Sitio;ultima IP;IP;Mask;
San Sebastian San Vicente > Cerro Grande;#N/D;San Sebastian San Vicente;172.17.33.30;172.17.33.25;255.255.255.248;
;391102;Cerro Grande;172.16.9.254;172.16.9.4;255.255.255.0;
Tecoluca > La Ceibita;391107;Tecoluca;172.17.33.6;172.17.33.1;255.255.255.248;
;#N/D; La Ceibita;172.17.33.22;172.17.33.10;255.255.255.240;
El Riel > Carretera a la Libertad 2;390449;El Riel;172.17.0.238;172.17.0.237;255.255.255.252;
;#N/D;Carretera a la Libertad 2;172.16.1.254;172.16.1.51;255.255.255.0;
Yayantique > San Miguel 1;391415;Yayantique;172.17.56.6;172.17.56.5;255.255.255.252;
;#N/D;San Miguel 1;172.16.15.254;172.16.15.2;255.255.255.0;
Tejutepeque > Cojutepeque;390504;Tejutepeque;172.17.16.34;172.17.16.33;255.255.255.252;
;#N/D; Cojutepeque;172.16.5.254;172.16.5.8;255.255.255.0;
La Ceibita > San Vicente;391104;La Ceibita;172.17.33.22;172.17.33.9;255.255.255.240;
;391101;San Vicente;172.16.9.254;172.16.9.5;255.255.255.0;
Ayacachapa > Acajutla;390815;Ayacachapa;172.17.8.18;172.17.8.17;255.255.255.252;
;390803;Acajutla;172.16.3.254;172.16.3.9;255.255.255.0;
Aguilares 2 > Aguilares;391660;Aguilares 2;172.17.16.138;172.17.16.137;255.255.255.252;
;391572;Aguilares;172.17.17.254;172.17.17.40;255.255.255.0;
Desv¡o Cerro Verde (Los Lagartos) > San Juli n;#N/D;Desv¡o Cerro Verde (Los Lagartos);172.17.8.22;172.17.8.21;255.255.255.252;
;#N/D;San Juli n;172.16.3.254;172.16.3.8;255.255.255.0;
Carretera a Acajutla > Acajutla;390802;Carretera a Acajutla;172.17.8.26;172.17.8.25;255.255.255.252;
;390803;Acajutla;172.16.3.254;172.16.3.10;255.255.255.0;
Coatepeque 1 > Coatepeque 2;#N/D;Coatepeque 1 ;172.17.0.82;172.17.0.81;255.255.255.252;
;#N/D;Coatepeque 2;172.17.1.70;172.17.1.66;255.255.255.248;
La Pandeadura > Ahuachap n;#N/D;La Pandeadura;172.17.8.30;172.17.8.29;255.255.255.252;
;#N/D;Ahuachap n;172.16.3.254;172.16.3.12;255.255.255.0;
Las Isletas > El Pedregal;#N/D;Las Isletas ;172.17.0.86;172.17.0.85;255.255.255.252;
;390202;El Pedregal;172.16.1.254;172.16.1.9;255.255.255.0;
Mandinga (El Presidio) > Acajutla;#N/D;Mandinga (El Presidio) ;172.17.8.34;172.17.8.33;255.255.255.252;
;390803;Acajutla;172.16.3.254;172.16.3.11;255.255.255.0;
Rosarios de Mora > El chulo 2;#N/D;Rosarios de Mora;172.17.0.90;172.17.0.89;255.255.255.252;
;#N/D; El chulo 2;172.16.1.254;172.16.1.10;255.255.255.0;
San Francisco Menendez > Garita Palmera;390908;San Francisco Menendez;172.17.8.38;172.17.8.37;255.255.255.252;
;390903;Garita Palmera;172.17.9.94;172.17.9.66;255.255.255.224;
San Juan Tepezontes > Aeropuerto;390223;San Juan Tepezontes;172.17.0.98;172.17.0.97;255.255.255.252;
;#N/D; Aeropuerto;172.16.1.254;172.16.1.11;255.255.255.0;
San Julian Pueblo > San Julian;390817;San Julian Pueblo;172.17.8.42;172.17.8.41;255.255.255.252;
;390807;San Julian;172.16.3.254;172.16.3.7;255.255.255.0;
Sonsonate 2 > Sonsonate 1;390809;Sonsonate 2;172.17.8.46;172.17.8.45;255.255.255.252;
;#N/D;Sonsonate 1;172.16.3.254;172.16.3.5;255.255.255.0;
Suncita > Sonsonate 1;390820;Suncita;172.17.8.50;172.17.8.49;255.255.255.252;
;#N/D;Sonsonate 1;172.16.3.254;172.16.3.6;255.255.255.0;
El Ciprs > Cerro Conchagua;#N/D;El Ciprs ;172.17.37.62;172.17.37.57;255.255.255.248;
;391458;Cerro Conchagua;172.16.10.254;172.16.10.9;255.255.255.0;
El Carmen Cuscatl n > Cojutepeque;#N/D;El Carmen Cuscatl n;172.17.16.38;172.17.16.37;255.255.255.252;
;390302;Cojutepeque;172.16.5.254;172.16.5.9;255.255.255.0;
Villa Dolores > Cerro Grande ;390503;Villa Dolores;172.17.32.18;172.17.32.17;255.255.255.252;
;#N/D;Cerro Grande ;172.16.9.254;172.16.9.6;255.255.255.0;
Ciudad Barrios 3 > Cacahuatique;#N/D;Ciudad Barrios 3;172.17.52.90;172.17.52.89;255.255.255.252;
;3970003;Cerro cacahuatique;172.17.53.158;172.17.53.134;255.255.255.224;
Los Ranchos > Cojutepeque;391021;San antonio los ranchos;172.17.18.70;172.17.18.65;255.255.255.224;
;390302;Cojutepeque;172.16.5.254;172.16.5.10;255.255.255.0;
Santa Ana 7 > San Ana 2;#N/D;Santa Ana 7 ;172.17.12.6;172.17.12.5;255.255.255.252;
;#N/D;Santa Ana 2;172.16.4.254;172.16.4.2;255.255.255.0;
Primavera > El Tr nsito;390651;Primavera;172.17.36.42;172.17.36.41;255.255.255.252;
;#N/D;Borrar;Borrar;Borrar;Borrar;
Hacienda el Milagro > Santa Ana 2;#N/D;Hacienda el Milagro;172.17.12.10;172.17.12.9;255.255.255.252;
;#N/D;Santa Ana 2;172.16.4.254;172.16.4.3;255.255.255.0;
Cangrejera > Aeropuerto;390426;Cangrejera;172.17.0.102;172.17.0.101;255.255.255.252;
;390204;Aeropuerto;172.16.1.254;172.16.1.12;255.255.255.0;
Jiquilisco > La Concordia;391212;Jiquilisco;172.17.28.82;172.17.28.81;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.19;255.255.255.0;
Laguna de Metap n > Metap n1;#N/D;Laguna de Metap n;172.17.5.70;172.17.5.65;255.255.255.248;
;#N/D;Metap n 1;172.17.5.62;172.17.5.50;255.255.255.240;
Mizata > Acajutla;390423;Mizata;172.17.9.110;172.17.9.105;255.255.255.248;
