SITEID;NOMBRE DE SITIO;LATITUDE;LONGITUDE;NIC/NIS;Distribuidora;Llave Requerida;Altura;Columna1;In-Building;Support Type;Porte;Tech;Tipo de Transmision;Nombre para Propietario ;Tipo Ubicaci¢n;Propietario;Direcci¢n;Municipio
390735;CANDELARIA DE LA FRONTERA 2;14.075926;-89.642607;5500782;CLESA;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;ES62327-B Candelaria de la Frontera 2;Co-Ubicado;SBA;Candelaria de La Frontera, Santa Ana;Candelaria de la Frontera
391641;DISTRITO ITALIA TIGO;13.8233;-89.13653;5478248;CAESS;;40;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;ES58546-A Distrito Italia;Co-Ubicado;SBA;Hacienda Aranzola, Tonacatepeque, San Salvador.;Tonacatepeque
390736;HOLCIM CESSA;14.327535;-89.496274;5503881;CLESA;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;ES62058-B Holcim-Cessa;Co-Ubicado;SBA;Holcin Cessa, Carretera aPlanta El Ronco, Metapan;Metapan
391667;MONTES DE SAN BARTOLO 4;13.722715;-89.131218;5526393;CAESS;;21;;OUTDOOR;MONOPOLO;PEQUE•O;GUL;FO;Montes de San Bartolo 4;Co-Ubicado;TETRA;Urbanizaci¢n Montes de San Bartolo 4, avenida B contiguo a Centro Escolar San Bartolo 4, Municipio de Soyapango, San Salvador;Soyapango
390737;EL COCO;14.08116;-89.71581;5479985;CLESA;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;ES58225-A EL COCO;Co-Ubicado;SBA;Barrio Jicarito 1, Canton el Coco, Chalchuapa, Santa Ana.;Chalchuapa
391670;ALTAVISTA 4;13.726291;-89.107811;5502291;CAESS;;30;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;ES62376-B Altavista 2;Co-Ubicado;SBA;Avenida Los Cedros, Pol°gono 31, Casa No. 6, Urbanizaci¢n Cumbres de San Bartolo, Municipio de Tonacatepeque, San Salvador.;Tonacatepeque
390738;EL PORVENIR;14.021827;-89.654185;5480291;CLESA;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;ES58493-A El Porvenir;Co-Ubicado;SBA;El Porvenir Calle al Cementerio, Santa Ana.;Santa Ana
391673;CARRETERA DE ORO;13.739095;-89.158388;5502294;CAESS;;45;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;MW;ES62352-B Carretera de Oro;Co-Ubicado;SBA;Cant¢n Plan del Pino, Lotificaci¢n La Nube, Final Calle Los Alpes, Ciudad Delgado, San Salvador;Ciudad Delgado
390739;SAN CRISTOBAL EL PORVENIR;14.057201;-89.626105;5480731;CLESA;;30;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;ES58212-A San Cristobal, El Porvenir;Co-Ubicado;SBA;Lotificacion san Francisco lote Numero 18 poligono C, El Porvenir Santa Ana.;El Porvenir
391680;SAN MARTIN 3;13.745401;-89.054337;5511298;CAESS;;30;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;ES62420-B San Martin 3;Co-Ubicado;SBA;Calle San BartolomÇ Perulapia, Iglesia Altar de Dios Internacional, San Martin Departamento de San Salvador.;San Martin
390740;SAN SEBASTIAN SALITRILLO 2;13.965;-89.63445;5480304;CLESA;;57;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;TES0450 SAN SEBASTIAN SALITRILLO;Co-Ubicado;TIGO;Lotes 1 y 2, Poligono C, Lotoficacion Fatima, Candelaria Santa Ana.;San Sebastian Salitrillo
391697;JUMEX;13.798836;-89.225651;Pendiente;0;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;SUCHINANGO SV-02-0950-08;Co-Ubicado;Sites;Inmueble de naturaleza r£stico, situado en el Cant¢nˇ Aldea de Mercedes.;Nejapa
390741;SALIDA A LOS NARANJOS;13.919692;-89.647823;5480006;CLESA;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;MW;ES58333-A Salida A Los Naranjos;Co-Ubicado;SBA;Cacerio San Jorge, canton Las Cruces, Km 72 1/2, carretera a Los Naranjos.;Chalchuapa
391701;APOPA MADRE TIERRA;13.81306;-89.186005;Pendiente;0;;22;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;SV-SS-1033 Apopa 3;Co-Ubicado;PHOENIX;Calle Al Tikal, Lotificaci¢n Veracruz, Comunidad El Pino, Colonia Madre Tierra, Apopa;Apopa
390742;EL BEJUCO;13.955245;-89.533221;5667309;CLESA;;30;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;GUL;FO;SV-SA-1106 EL BEJUCO;Co-Ubicado;PHOENIX;Calle Principal, numero 5 Block 23, casa 9, Col. El Bosque, Santa Ana.;Santa Ana
