SITEID;Nombre de Sitio;Torrero;Nombre Torrero
391033;CHALATENANGO 2;SBA;ES18E42-A Chalatenango 2
391050;CHALATENANGO 1 SBA;SBA;CHALATENANGO 1ÿ ES58819-A
391134;CHAMOCO;PHOENIX;SV-SV-1041 CHAMOCO
391136;DESVIO A SAN VICENTE;SBA;DESVIO SAN VICENTEÿ ES69030-B
391258;LA CRUZADILLA 2;TETRA;TBS02068 Concordia
391259;JIQULISCO 3;SBA;ES69038-B Jiquilisco 5
391260;EREGUAYQUIN 2;TETRA;TBS02087 Ereguayqu¡n
390286;EL PEDREGAL SITES;SITES;SV-02-0366-11 El Pedregal
390289;ISLETAS 2;SITES;SV-02-0568-10 Isletas II
390290;LA ZORRA;SITES;SV-02-0336-08 La Zorra
390325;COJUTEPEQUE SUR;VIVA OUTDOOR;122 COJUTEPEQUE CENTRO
390329;CANTON EL CARMEN 2;TETRA;CANTON EL CARMEN 2
390330;MIRAFLORES ARRIBA;TETRA;MIRAFLORES ARRIBA
390331;SANTA CRUZ MICHAPA 3;PHOENIX;SV-CU-1001 Santa Cruz Michapa
390333;SAN NICOLµS COJUTEPEQUE;TETRA;TBS02082 San Nicol s
390335;SAN AGUSTÖN ILOPANGO;TETRA;DT020134 San Agust¡n Ilopango
390525;LLANITOS CABA¥AS;TETRA;TBS02004 Llanitos Caba¤as
390675;RUTA MILITAR 1;PHOENIX;SV-SM-1129 Ruta Militar
390682;AGUA ZARCA 2;KGI;SBSM0102 Agua Zarca
391051;CHALATENANGO 3;VIVA OUTDOOR;433 Chalatenango
391052;SAN ANTONIO LOS RANCHOS 2;PHOENIX;SV-CH-1004 San Antonio Los Ranchos
391135;AMAPULAPA;SITES;SV-02-0290-08 Amapulapa
391137;AGUA CALIENTE SAN VICENTE;SITES;SV-02-0390-04  Agua Caliente San Vicente
391138;TECOLUCA 3;PHOENIX;SV-SV-1002 Tecoluca
391261;SANTA MARIA II;SITES;SV-03-1145-22 Santa Mar¡a II
391262;USULUTAN NORTE;SITES;SV-03-0691-04 Usulutan Norte
